Location,Latitude,Longitude,Rating,Description
"325 Knowles Ave, Daly City, CA 94014",37.7049039,-122.4669503,7,"Motion rapid, lasted 35 seconds. Loud earth noises heard. Small objects and furnishings shifted. Dishes and windows broke. Plaster, windows, and walls cracked. Damage considerable to concrete. Ground: Compact, level."
"256 Citrus Ave, Daly City, CA 94014",37.6978235,-122.466553,7,"Motion rapid, vertical, then E. Loud earth noises heard. Small objects and furnishings shifted. Plaster, walls, and ground cracked. Damage considerable to concrete. For the past two years I have heard earth noises, and as time went on the acoustics in my house seemed to change. The floors used to give a little as we walked across them, making stoves, etc., rattle. Now the floors seem to be more solid and there's no more rattling, not even when cars go by. Before the big shock I felt very slight up-and-down motions like one would feel on a boat. Very loud noises heard during the big shock, and there have been several loud rumbles since. There still seems to be a throbbing sound almost constantly."
"147 Woodrow, Daly City, CA 94014",37.7024046,-122.4673678,7,"Motion rapid, long duration (10 minutes). Direction E-W. Loud earth noises heard. Small objects and furnishings shifted. Dishes and furniture broke. Plaster, windows and walls cracked. Damage great to wood and concrete. Ground: Soil, compact, level."
"260 Winchester, Daly City, CA 94014",37.7066998,-122.4526078,7,"Motion rapid, long duration (about 10 minutes). Direction N-S. Loud earth noises heard. Small objects and furnishings shifted. Dishes and furniture broke. Plaster and walls cracked. Damage considerable (about $250). Ground: Soil, sloping."
"688 Florence St, Daly City, CA 94014",37.6895493,-122.4551499,7,"Motion rapid. Small objects and furnishings shifted. Dishes broke. Plaster and walls cracked. Damage considerable to masonry and concrete. Ground: Soil, sloping."
"6748 Mission St, at Westlake, Daly City, CA 94015",37.7004043,-122.4639841,7,"Grocery store nearby had everything on floor. Our basement prevented cracks--not so in neighborhood. Ground: Rocky, clay, sloping toward west."
"672 Hanover St, Daly City, CA 94014",37.7067286,-122.4508373,7,"Motion rapid, lasted 10 seconds. Direction SW. Loud earth noises heard. Small objects and furnishings shifted. Dishes, windows, and furniture broke. Plaster and walls cracked. Damage considerable. Ground: Soil."
"near 28 Cassandra Court, Daly City, CA 94014",37.7096343,-122.4485011,7,"Motion rapid and violent, long duration. Direction NE and up and down. Loud earth noises heard. Small objects, lamps, and furnishings shifted. Dishes and wall pictures broke. Plaster, walls, and front stairs cracked. Ripped sink from kitchen wall (slight). Damage considerable. Ground: Soil, loose."
"56 Miriam St, Daly City, CA 94014",37.7039757,-122.4656514,7,"Motion rapid, lasted about 15 minutes, including smaller shocks before and after. Direction SW. Very loud earth noises heard. Small objects and furnishings shifted. Dishes and windows broke. Plaster, windows, and walls cracked. Chimney fell. Damage slight. Ground: Soil, compact."
"266 Westridge Ave, Westlake, Daly City, CA 94015",37.6895415,-122.4943742,7,Front of brick fireplace thrown out.
